Enfermedad,Persona,frase,num_ind,indicador,dimension,contiene_indicador
Cáncer ,Tercera Persona ,Y así fue como nos vimos tragando lágrimas,1,represión emocional,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,cuando tuvimos que cortarle el pelo por “exigencias del guion médico” y ella era la niña mas feliz del mundo porque por fin se estaba convirtiendo en ella.,0,,,0
Cáncer ,Tercera Persona ,"Creo que ahí nos dimos cuenta de que, pasara lo que pasara, Eider iba a ganar esta guerra",1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,"Todo fue bien y, tras dos ciclos de quimio, nos dieron la mejor noticia del mundo, Eider estaba en remisión completa",2,curación,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"Todo fue bien y, tras dos ciclos de quimio, nos dieron la mejor noticia del mundo, Eider estaba en remisión completa",2,remisión completa,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,", evitábamos el trasplante de médula ósea y pasábamos al ciclo de consolidación.",0,,,0
Cáncer ,Tercera Persona ,"La leucemia mieloide de nuestra HADA CALVA estaba asociada a la inversión del cromosoma 16 y, por lo tanto, era de buen pronóstico, dos ciclos más y podríamos volver a casa tras casi 5 meses de ingreso casi continuo.",0,,,0
Cáncer ,Tercera Persona ,"El alta llegó en junio y, hasta hoy, nuestra HADA CALVA sigue fuerte y libre de enfermedad.",0,,,0
Cáncer ,Tercera Persona ,Somos conscientes de que nuestra lucha fue casi fugaz comparada con las que aquí se narran,1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Tercera Persona ,", pero queríamos agradecer",1,agradecimiento,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"a todo el personal del Hospital Universitario de Canarias y a su equipo de oncología pediátrica por dar siempre el 100% por nuestra pequeña, y a la Fundación Josep Carreras, porque en su página encontramos esperanza",1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,e información,1,búsqueda información,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"y sobre todo la certeza de que, si todo no iba tan bien como al final está yendo, siempre los tendríamos a ellos para cuidar de nosotros",1,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"y buscarnos un alma compatible, GRACIAS, GRACIAS Y MIL GRACIAS",1,agradecimiento,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Somos Noelia y Oscar, la madre y el padre de Rafa, a quién con un año y nueve meses le diagnosticaron leucemia linfoblástica aguda.",0,,,0
Cáncer ,Tercera Persona ,"Habíamos oído hablar de la enfermedad, pero realmente no la conocíamos",1,falta información,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,No sabíamos el duro camino que nos quedaba por recorrer,1,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,y no sabíamos cómo esta enfermedad cambiaría nuestras vidas,1,futuro incierto,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,En el momento del diagnóstico miles de preguntas sin respuesta se apoderaron de nosotros,1,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", generándonos sentimientos de miedo y de angustia (momento del diagnóstico)",2,miedo,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,", generándonos sentimientos de miedo y de angustia (momento del diagnóstico)",2,angustia momento diagnóstico,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", el miedo y angustia aún hoy permanecen a nuestro lado y que creemos que nunca acabarán de desaparecer",1,miedo angustia,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,El 23 de septiembre de 2016 llevamos a Rafa al HUCA (Hospital Universitario de Asturias) preocupados por una cojera que no acababa de mejorar y numerosos moratones en su cuerpo,1,preocupación problemas físicos,Dimensión 1: Physical Functioning,1
Cáncer ,Tercera Persona ,Lo que nunca hubiésemos imaginado es que durante nueve meses este iba a ser prácticamente nuestro hogar,1,futuro incierto,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Largos periodos de hospitalización, con duras sesiones de quimio y algún que otro contratiempo se convirtieron en nuestro día a día, pero nuestro pequeñin pocas veces perdió su sonrisa, sus ganas de jugar y su curiosidad sin límite",1,resiliencia,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,Su alegría y su ilusión fueron sus mejores aliados,2,optimismo,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,Su alegría y su ilusión fueron sus mejores aliados,2,resiliencia,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,y nos dio a nosotros la fuerza,1,fortaleza,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,que a veces nos faltaba.,0,,,0
Cáncer ,Tercera Persona ,Durante este periodo el personal sanitario se convirtió casi en nuestra familia,1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,También encontramos refugio en otras familias,1,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,que pasaban por momentos similares,1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Tercera Persona ,", compartiendo temores y pequeñas victorias",1,expresión emocional,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,y reconfortándonos en momentos complicados,1,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,"En junio de 2017 dejó atrás las hospitalizaciones y Rafa continuó su tratamiento en el hospital de día, lo que nos permitió ir recuperando poco a poco la normalidad en nuestras vidas",1,normalización,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Podíamos alternar las visitas al hospital con tardes en el parque, visitas familiares, excursiones…",1,adaptación día día,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,¡por fin podíamos disfrutar al aire libre que tanto necesitábamos,1,disfrute ocio tiempo libre,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,y teníamos la oportunidad de empezar a recuperar el tiempo perdido!,1,disfrute ocio tiempo libre,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,"Fue una gran alegría que Rafa pudiera comenzar primero de infantil en el colegio, una nueva etapa que se desarrolló casi con normalidad, sin apenas contratiempos",1,adaptación entorno educativo,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,"El colegio, sus primeros amigos, los juegos con sus primos, el parque…",2,satisfacción vida social,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,"El colegio, sus primeros amigos, los juegos con sus primos, el parque…",2,normalización,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"ocupaban la mayor parte de su tiempo, como el de cualquier otro niño de su edad",1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Tercera Persona ,y nuestros miedos por primera vez nos permitían tener momentos de tranquilidad,1,tranquilidad,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,Así transcurrió casi sin darnos cuenta un año.,0,,,0
Cáncer ,Tercera Persona ,"En octubre de 2018, días después de finalizar su tratamiento, una ligera cojera y unos moratones lo llevaron de nuevo al hospital, donde se confirmaron nuestros peores presentimientos",1,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,: Rafa había recaído,1,recaída enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,Otra vez multitud de sentimientos se removieron en nosotros: rabia,1,rabia,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", miedo",1,miedo,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Tercera Persona ,", angustia",1,angustia,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,", tristeza",1,tristeza,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,… pero siempre esperanza,1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,"Con dos años más, ya tiene 4 años, a Rafa le toca seguir luchando",1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,"y, aunque más consciente de su enfermedad",1,conciencia enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,", no ha perdido su alegría, ni sus ganas de jugar ni mucho menos su gran sonrisa",1,alegría,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Ya lleva dos meses de tratamiento, con periodos de aislamiento y duras sesiones de quimio con sus primeras secuelas, pero lejos de desanimarse, Rafa sigue demostrando día a día su valentía",2,valentía,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,"Ya lleva dos meses de tratamiento, con periodos de aislamiento y duras sesiones de quimio con sus primeras secuelas, pero lejos de desanimarse, Rafa sigue demostrando día a día su valentía",2,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,Ahora toca preparase para el trasplante de médula ósea,1,afrontamiento centrado problema: tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,", otro complicado camino al que hacer frente",1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,La Fundación Josep Carreras está buscando en el mundo esa alma gemela compatible con Rafa,2,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Tercera Persona ,La Fundación Josep Carreras está buscando en el mundo esa alma gemela compatible con Rafa,2,satisfacción apoyo social profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,Con los avances médicos,1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Tercera Persona ,", el personal sanitario cuidándolo",1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Tercera Persona ,", nuestra familia y amigos/as apoyándonos incondicionalmente",1,satisfacción apoyo social familiar emocional,Dimensión 6: Social Functioning,1
Cáncer ,Tercera Persona ,", solo necesitamos encontrar esa médula que nos permita seguir luchando junto a nuestro hijo",1,afrontamiento centrado problema: tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Tercera Persona ,", porque tenemos pensado ganar esta batalla.",0,,,0
Cáncer ,Tercera Persona ,la ganaremos,1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"Soy un paciente que lleva una serie de sesiones de radioterapia y quiero felicitarle por la calidad, tanto profesional como humana del personal, con que cuenta el centro y por el que soy atendido, desde el doctor, la enfermera y la chica de admisión, como los técnicos del aparato que aplica las sesiones y su personal de prácticas.",0,,,0
Cáncer ,Primera Persona ,"Todos ellos tienen una exquisita delicadeza, amabilidad y trato correcto",1,satisfacción relación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,", tal que psicológicamente hacen que yo sienta una extrema confianza y tranquilidad",1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"nada más poner el pie en el centro, contribuyendo, de esa manera, a aumentar las posibilidades de una recuperación pronta y positiva.",0,,,0
Cáncer ,Primera Persona ,Por ello le reitero mis felicitaciones y agradecimiento,1,agradecimiento apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,al contar con personal de esa calidad y competencia,1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,y les doy las gracias a todos ellos por ayudarme a superar mi problema de salud,1,agradecimiento apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,que causa el uso de su centro.,0,,,0
Cáncer ,Primera Persona ,"Al escuchar a mi urólogo que la palabra “cáncer” se había incrustado en parte de mi ser, caí al instante en un apocamiento",1,tristeza,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,mucho más profundo y desconcertante,1,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,que cualquier estado de desánimo vivido hasta entonces.,0,,,0
Cáncer ,Primera Persona ,"Con la misma celeridad de cómo las células malignas tratan de extenderse silenciosamente por los tejidos de cualquier órgano humano, el aviso canceroso tomó cuerpo dentro de mí con extraños golpes cerebrales, que me provocaron una repentina caída de derrota.",0,,,0
Cáncer ,Primera Persona ,"Vi, de repente, las múltiples aristas hirientes que esconde el vocablo fantasmal “cáncer”; y fui consciente",1,conciencia enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"de que no era una mera abstracción mental, sino una funesta realidad interiorizada ahora en mí .",0,,,0
Cáncer ,Primera Persona ,Llegó el momento en que preferí no transmitir ningún desasosiego a mis familiares y amigos,2,sobreprotección,Dimensión 2: Role Limitations due to Physical Problems,1
Cáncer ,Primera Persona ,Llegó el momento en que preferí no transmitir ningún desasosiego a mis familiares y amigos,2,secretismo,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,", enfundarme con una coraza anímica que me hiciera más fuerte y luchador",1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", infundirles que la batalla emprender terminará victoriosa",1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"Con esas sanas intenciones llegué a GenesisCare, centro oncológico emplazado en La Cartuja de Sevilla.",0,,,0
Cáncer ,Primera Persona ,"Enseguida, me recibió el médico radioterapeuta Dr.",0,,,0
Cáncer ,Primera Persona ,don José Antonio González Ferreira.,0,,,0
Cáncer ,Primera Persona ,Durante una sincera y abierta entrevista con él,1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,", palpé que había entrado en un hospital que suponía una prolongación de mi ámbito familiar",1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"Con destreza pedagógica, me explicó cuál era mi situación, las diferentes formas posibles de actuación y el tratamiento adecuado para mi mal, todo detallado con profesionalidad y con palabras rebosantes de humanidad",1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,"Tenía ante mí a una persona docta que infundía confianza, tranquilidad, esperanza, amabilidad, energía, optimismo y naturalidad",1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,GenesisCare no es un hospital al uso,1,comparación,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,"Aquí, recibo un trato exquisito y muy personalizado, que hace olvidarme de ser un paciente",1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Al Dr.,0,,,0
Cáncer ,Primera Persona ,"González Ferreira, alma páter de GenesisCare, le acompaña un equipo de profesionales a los que considero que son piezas fundamentales de la apasionante empresa colectiva de curar: doña Cristina Bonilla Jiménez allana los trámites administrativos y la enfermera doña Soledad Guerra Rodríguez vela, tal como si fuera nuestra madre",1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,", por la preparación previa para las sesiones de radioterapia y está muy pendiente de las recomendaciones de los cuidados necesarios .",0,,,0
Cáncer ,Primera Persona ,Realiza su labor con gran precisión y dulzura.,0,,,0
Cáncer ,Primera Persona ,Mima al enfermo hasta el extremo de que este retrocede grata y mentalmente a su infancia maternal.,0,,,0
Cáncer ,Primera Persona ,Don José Ignacio RodríguezPalacios Valderrama y don Carlos Rua Sobrino son los técnicos de radioterapia.,0,,,0
Cáncer ,Primera Persona ,"Ayudado por ellos, diariamente, sigo correteando por los espacios que siempre habité, sin miedo alguno a lo venidero y desconocido; a la espera deseada de que los rayos emitidos por una máquina que parece haber salido de otra galaxia alcancen la zona afectada y generen vida",1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,Gira la máquina en torno a mí; y unos minutos que presagiaba como terroríficos alcanzan milagrosamente la categoría de casi poéticos.,0,,,0
Cáncer ,Primera Persona ,¡Qué difícil conseguir que los latidos de un corazón descompasado se tornen capaces de remover mis fuerzas! ¡Nombres de mujeres y hombres que habéis conseguido transformar mi día frío e incierto en haces de luz esperanzadora,2,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,¡Qué difícil conseguir que los latidos de un corazón descompasado se tornen capaces de remover mis fuerzas! ¡Nombres de mujeres y hombres que habéis conseguido transformar mi día frío e incierto en haces de luz esperanzadora,2,esperanza,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,! Gracias a vosotros,1,agradecimiento,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,", no lloro la desesperanza ni exhalo frío aliento.",0,,,0
Cáncer ,Primera Persona ,De mis ojos no se derrama lágrima alguna ni tristeza ni desconsuelo.,0,,,0
Cáncer ,Primera Persona ,Sé con certeza que las acciones médicas y el cuidado amoroso de vosotros harán brotar en el árbol de mi vida una ramilla cargada de nueva savia,1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,Gracias de corazón a todo el equipo de GenesisCare,1,agradecimiento,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,"Seguro que conseguiréis vuestro reto propuesto y, entonces, aflorará otro milagro de primavera.",0,,,0
Cáncer ,Primera Persona ,nos llama costes y eso pues estuve un poquito mejor pero yo no pensaba que era la mejoría por el tratamiento yo pensaba que era una casualidad porque algunas veces me dolía mucho,1,dolor,Dimensión 3: Bodily Pain,1
Cáncer ,Primera Persona ,otra vez m no pero cuando toda la noche no me dolió y cuando me levanté por la mañana apenas me dolía echando un poquito la pierna afuera de la cama un poquito pero luego ya después del mediodía tuve que llamar a mi hijo y decírselo que había notado una mejoría tremenda vaya,0,,,0
Cáncer ,Primera Persona ,La salvación no era un lugar o una persona a donde ir para evadirse o en la que apoyarse para levantarse.,0,,,0
Cáncer ,Primera Persona ,La salvación era una actitud mía tan propia e individual como irrepetible e intransferible pero común a todos los valientes que han tenido que vencer alguna batalla en su vida para seguir viviendo y testimoniar dónde se debe de buscar la salvación: el hombre que se rinde sólo conoce su miseria,1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,Empecé la quimioterapia y después la radioterapia,1,afrontamiento centrado problema: tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Recuerdo que cuando entré la primera vez en la sala me dieron muchas ganas de llorar,1,llanto,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,Me sentía muy desgraciada,2,malestar emocional,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,Me sentía muy desgraciada,2,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,", pero al mismo tiempo, el cariño con el que me trataron las doctoras, las enfermeras",1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,y la seguridad de que lo que iba a empezar me iba a curar en unos cuantos meses,1,esperanza,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", me hizo fuerte",2,resiliencia,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", me hizo fuerte",2,fortaleza,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,Me convencí de que tenía suerte porque lo que me estaba pasando se podía curar,1,evaluación positiva,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"He comenzado sesiones con Ruth, la psicooncóloga, que me ayudan muchísimo",1,satisfacción apoyo profesional psicológico,Dimensión 9: Healthcare Interaction,1
